,Belge grubu,Belge adı,EMP STAT,FAM CH,MARITAL,AGE GRP,REGION,Q.1. JOB-SECURE,Q.2. HOW-AFF,Q.3. FAULT,Q.3A COMMENTS FAULT,Q.4. HOLS,Q.4A.  HOLS OTHER COMMENTS,Q.5 PURCHASES,Q.5A. COMMENT PURCHASES,no
0,0,RESP002,4,0,3,5,0,4,Not really much. Well our cheaper carparking tickets have gone now. They withdrew concessionary tickets so now its more difficult to get into town for the things I need.,BANKS,"We've always known about the bonuses, but whats been good about what's happened over the last 2 years?",3,,1,I try to keep fit so I spent £350 on a cycle machine but at the same time I have stopped my playing subscription to my golf club. Just a social member now.,1
1,0,RESP003,5,1,1,1,0,2,Completely. Really changed my customer base,BANKS,Pathetic. Unfair. They don’t deserve their money,2,We aren't committing to any big things. We will book a late holiday if things are still ok come the summer. Paid for school trips though,1,Purchases are for necessities - that includes stuff for the business -for instance  had to update laptop @£400 would not have done that if not necessary. Spent 260 on PGL holiday for the eldest child ,2
2,0,RESP004,5,1,1,2,0,1,Very much. I had several jobs lined up and half of them have just disappeared,BANKS,,1,,1,Not sure if relevant. We had to pay a deposit+months rent for private  rented accommodation for our son away at university.Was 1200 - came out of savings. So it was essential but out of the normal run of things.  It’s a worry when we start to think about the other things that might come up. We just haven't got reserves.,3
3,0,RESP006,2,1,1,3,0,3,Personally no but my family is affected,BANKS,I am depressed that I feel we have just accepted it. The ordinary person has no power to change things. Everyone shouts and screams and the taboid rpess make it a big deal but noone can actually do anything,0,,1,,4
4,0,RESP008,0,1,0,1,0,4,"Not yet, well a bit insecure and life is harder but around and about you see a lot of aquaintances just losing jobs",BANKS,Not the high street banks the investment arms f them. They should be separated. There are safeguards but its panic that is the problem as we saw. There needs to be more confidence n the system,0,,1,,5
5,0,RESP009,4,1,0,4,1,5,I feel sorry for all those people who've got to work til they drop. I retired at the right time I know I was lucky. I'm not that weel off not as I would have been leastways but at least I've got some time left to enjoy it,BANKS,Things just got too complicated. No-one knew the implications of deals done further down the line.,3,I am determined to have several holidays. We don't go on cruises or even go abroad. I also have to replace my car this year.,1,,6
6,0,RESP010,4,1,2,4,1,5,I've got a private  pension -lower in value the longer I wait before taking it.,"BANKS, EURO",,3,I go very year on a coach tour I'm not changing that this year.,1,I've never been a spender so some people would look at my house and think I should be. But its all overconsumption  as far as I am concnerned. I do whats necessary and nothing else,7
7,0,RESP011,4,1,3,4,1,5,Mainly I worry about the kids.,"BANKS, EURO",,3,I've rented a place for two weeks. Hoping kids will bring their kids!,1,,8
8,0,RESP012,1,1,1,4,1,4,My job is OK - but theres a pay freeze. Pity the rail fares don’t freeze as well. I ammore worried about my grownup children and how they will cope,"BANKS, EURO",,2,"We are saving to provide back-up in case of a family crisis, Making a conscious decision not to spend this year.",1,We bought our grandchildren a wooden playhouse for their garden that was  near;y £700 by the time we paid for installation. ,9
9,0,RESP015,5,1,1,3,0,1,I got made redundant 6mths ago. That was awful.  I am trying to get going again with an idea I have but getting a small start-up business loan has been impossible. I'm caught by being my age - not getting my pension and not getting a bank loan either.,BANKS,,2,"Depends on my husband, we are separated but he helps me out sometimes.",1,I let my son have my old laptop so had to buy a new one for msyelf. I'm certainly not buying luxuries or lifestyle items.,10
10,0,RESP017,5,1,0,2,0,2,"A few people  still seem to be spending money like water - but as far as my business is concerned, most people aren't putting their hands in pockets- that affects my order book - that affects me",BANKS,Whats all this  financial easement about - where has that moneygone. Not to the businesses that’s for sure. ,2,,1,,11
